a+,"[0.0, 0.0]"
enjoyable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enjoyably,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enjoyed,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enjoying,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enjoyment,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enjoys,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enlighten,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enlightenment,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enliven,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ennoble,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enough,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enrapt,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enrapture,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enraptured,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enrich,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enrichment,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enterprising,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
entertain,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
entertaining,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
entertains,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enthral,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enthrall,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enthralled,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enthuse,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enthusiasm,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enthusiast,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enthusiastic,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enthusiastically,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
entice,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enticed,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enticing,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enticingly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
entranced,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
entrancing,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
entrust,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enviable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enviably,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
envious,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enviously,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enviousness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
envy,"[0.0, 0.0, 0.0, 0.0]"
equitable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ergonomical,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
err-free,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
erudite,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ethical,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
eulogize,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
euphoria,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
euphoric,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
euphorically,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
evaluative,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
evenly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
eventful,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
everlasting,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
evocative,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
exalt,"[0.0, 0.0, 0.0, 0.0, 0.0]"
exaltation,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
exalted,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
exaltedly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
exalting,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
exaltingly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
examplar,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
examplary,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
excallent,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
exceed,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
exceeded,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
exceeding,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
exceedingly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
exceeds,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
excel,"[0.0, 0.0, 0.0, 0.0, 0.0]"
exceled,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
excelent,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
excellant,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
excelled,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
excellence,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
excellency,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
excellent,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
excellently,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
excels,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
exceptional,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
exceptionally,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
excite,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
excited,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
excitedly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
excitedness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
excitement,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
excites,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
exciting,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
excitingly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
exellent,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
exemplar,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
exemplary,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
exhilarate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
exhilarating,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
exhilaratingly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
exhilaration,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
exonerate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
expansive,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
expeditiously,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
expertly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
exquisite,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
exquisitely,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
extol,"[0.0, 0.0, 0.0, 0.0, 0.0]"
extoll,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
extraordinarily,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
extraordinary,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
exuberance,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
exuberant,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
exuberantly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
exult,"[0.0, 0.0, 0.0, 0.0, 0.0]"
exultant,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
exultation,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
exultingly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
eye-catch,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
eye-catching,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
eyecatch,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
eyecatching,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fabulous,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fabulously,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
facilitate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fair,"[0.0, 0.0, 0.0, 0.0]"
fairly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fairness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
faith,"[0.0, 0.0, 0.0, 0.0, 0.0]"
faithful,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
faithfully,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
faithfulness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fame,"[0.0, 0.0, 0.0, 0.0]"
famed,"[0.0, 0.0, 0.0, 0.0, 0.0]"
famous,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
famously,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fancier,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fancinating,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fancy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
fanfare,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fans,"[0.0, 0.0, 0.0, 0.0]"
fantastic,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fantastically,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fascinate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fascinating,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fascinatingly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fascination,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fashionable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fashionably,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fast,"[0.0, 0.0, 0.0, 0.0]"
fast-growing,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fast-paced,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
faster,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fastest,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fastest-growing,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
faultless,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fav,"[0.0, 0.0, 0.0]"
fave,"[0.0, 0.0, 0.0, 0.0]"
favor,"[0.0, 0.0, 0.0, 0.0, 0.0]"
favorable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
favored,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
favorite,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
favorited,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
favour,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fearless,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fearlessly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
feasible,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
feasibly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
feat,"[0.0, 0.0, 0.0, 0.0]"
feature-rich,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fecilitous,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
feisty,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
felicitate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
felicitous,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
felicity,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fertile,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fervent,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fervently,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fervid,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fervidly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fervor,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
festive,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fidelity,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fiery,"[0.0, 0.0, 0.0, 0.0, 0.0]"
fine,"[0.0, 0.0, 0.0, 0.0]"
fine-looking,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
finely,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
finer,"[0.0, 0.0, 0.0, 0.0, 0.0]"
finest,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
firmer,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
first-class,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
first-in-class,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
first-rate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
flashy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
flatter,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
flattering,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
flatteringly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
flawless,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
flawlessly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
flexibility,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
flexible,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
flourish,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
flourishing,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fluent,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
flutter,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fond,"[0.0, 0.0, 0.0, 0.0]"
fondly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fondness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
foolproof,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
foremost,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
foresight,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
formidable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fortitude,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fortuitous,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fortuitously,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fortunate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fortunately,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fortune,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fragrant,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
free,"[0.0, 0.0, 0.0, 0.0]"
freed,"[0.0, 0.0, 0.0, 0.0, 0.0]"
freedom,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
freedoms,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fresh,"[0.0, 0.0, 0.0, 0.0, 0.0]"
fresher,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
freshest,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
friendliness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
friendly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
frolic,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
frugal,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fruitful,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ftw,"[0.0, 0.0, 0.0]"
fulfillment,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fun,"[0.0, 0.0, 0.0]"
futurestic,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
futuristic,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gaiety,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gaily,"[0.0, 0.0, 0.0, 0.0, 0.0]"
gain,"[0.0, 0.0, 0.0, 0.0]"
gained,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gainful,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gainfully,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gaining,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gains,"[0.0, 0.0, 0.0, 0.0, 0.0]"
gallant,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gallantly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
galore,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
geekier,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
geeky,"[0.0, 0.0, 0.0, 0.0, 0.0]"
gem,"[0.0, 0.0, 0.0]"
gems,"[0.0, 0.0, 0.0, 0.0]"
generosity,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
generous,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
generously,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
genial,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
genius,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gentle,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gentlest,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
genuine,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gifted,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
glad,"[0.0, 0.0, 0.0, 0.0]"
gladden,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gladly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gladness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
glamorous,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
glee,"[0.0, 0.0, 0.0, 0.0]"
gleeful,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gleefully,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
glimmer,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
glimmering,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
glisten,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
glistening,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
glitter,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
glitz,"[0.0, 0.0, 0.0, 0.0, 0.0]"
glorify,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
glorious,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gloriously,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
glory,"[0.0, 0.0, 0.0, 0.0, 0.0]"
glow,"[0.0, 0.0, 0.0, 0.0]"
glowing,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
glowingly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
god-given,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
god-send,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
godlike,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
godsend,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gold,"[0.0, 0.0, 0.0, 0.0]"
golden,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
good,"[0.0, 0.0, 0.0, 0.0]"
goodly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
goodness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
goodwill,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
goood,"[0.0, 0.0, 0.0, 0.0, 0.0]"
gooood,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gorgeous,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gorgeously,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
